Id;Hash;Text_Cleaned
1;298A58AC9759CAD59545DA61A95B03A3BD2833C1C15A00D7CC6CE2C81EA3E683;Да, поменять почту можно. Направьте свой запрос на + напишите, какая почта была основной и на что поменять.
2;50FBB9F51771A35B682EFBDC13BE163DC79EFD5266DBE3F1417AD5690C9494E1;Нет, не обязательно.
3;287742D7F9AA669FD1E3117C7B05116ABC53328A3443D97B4B304EBDA4BE1EDE;"Из-за большой нагрузки письма могут приходить с задержкой. Также проверьте папку ""Спам"". Если ничего не изменится, напишите, пожалуйста, в техническую поддержку:"
4;8C8B98D20AF0912600B3597A66AD386A5D9206D551C79F9F8D6FD8FF6E6830FD;"Проблемы с регистрацией на курс могут возникнуть, если у Вас неправильно заполнен раздел """"Образование"""" в личном кабинете. Как правильно заполнить данный раздел расписано внизу страницы: Помимо образования в раздел """"Документы"""" необходимо добавить номер и скан СНИЛС."
5;7A9562F98A71133CDD279BF4F34AA4C3292507D3F9423EEE654F36DFB0726CD5;Мы получаем данные о группах из ЭУ, при передаче информации бывают ошибки. В случае, если Ваши данные не были найдены в базе Университета, Вам необходимо написать на почту с указанием ФИО и группы, там специалисты вручную всё проверят и добавят Вас в базу, после чего Вы можете повторить регистрацию.
6;4045E2455BC783D99763BA7DC4074BA552C5C6906351B48F94D7D56D0FCA8081;Возможно, у Вас уже есть аккаунт на данном портале. Попробуйте восстановить пароль. Если проблема сохранится, Вам необходимо написать на почту с указанием своих ФИО и группы.
7;FBE555308B30D5F2365B4A4FFEC764342235E002E82C61096AF5C0BE0023A644;Напишите, пожалуйста, в техническую поддержку на почту:
8;5B0DF138AD8B5328877A9A1DD62D6185C85706E9DB69DD7E2C4963963C892BC5;"Как только Вы добавили номер и скан СНИЛС, он должен пройти процедуру проверки. Когда СНИЛС пройдёт модерацию, в разделе """"Документы"""" символ песочных часов ⏳ рядом с ним сменится зелёной галочкой, после этого Вы можете зарегистрироваться на курс. Процедура проверки СНИЛС занимает до 24 часов."
9;09BB62A3D1F8DA547A0457C8955B9BBAFEC8C360B2706D30DFFD3C90147A6387;Просьба обратиться в техническую поддержку на почту
10;056F1F6591F01C205818F68352067607B2530F0589CE31B20B4D366FA1F808C7;Напишите, пожалуйста, в поддержку на почту с указанием своих ФИО, электронной почты и на какой курс у Вас недоступна запись.
11;BEEFAE223F6784978FA619B368DC6C77D6777B034145B16855F0A75561280B0A;Проверка СНИЛС занимает до 24 часов. Если не будет изменений, то обратитесь, пожалуйста, к коллегам в техническую поддержку на почту:
12;79FD3423166C4509A77E4AD412F61F4C48E9AB84D861B57D5936742A086EB507;Нет, т.к. обучение возможно пройти только на одном курсе.
13;A530591A72C427E02B17496E5FC1F4A3C1B65F323B17F5F437F2E67074F9B80E;"На странице выбранного курса будет соответствующая отметка: ""Вам одобрена заявка""."
14;CE9718967B9FBEBE2C1B9A6CD7C797CC4674994244B01FE39C1E2A1302DB57E3;"Как только Ваша заявка будет одобрена, Вам придёт письмо на основной почтовый ящик, указанный в Вашем профиле. Также в своём Личном кабинете на bmstu.online Вы увидите соответствующую отметку: ""Вам одобрена заявка""."
15;B9285775CF38FDAB083311F64AE6F6CABA0B3CC7BDB2B83D9E512DDBDD725BD5;То, что у Вас в личном кабинете не отображается программа означает, что заявка была отклонена. Вероятно, после подтверждения заявки Вы не подписали Заявление на странице программы. После того, как все заявки были рассмотрены, мы должны были собрать согласия со студентов и для этой цели делали рассылку на почты студентов с адреса о необходимости подписать заявление о зачислении (так как без согласия со стороны студента мы не можем включить его в итоговые списки), а также дублировали информацию в наш основной канал в Telegram: @dc_bmstu . К сожалению, мы были вынуждены отклонить заявки без подписанных заявлений. Весной у нас будет новый набор на 2023/24 учебный год, ждём Вас! О начале набора обязательно объявим на нашем основном Telegram-канале: @dc_bmstu
16;1F72436034B89EB0958D3C5379AAD69101964EE5A91F1BD87D1BBFA7AB5B7F47;Мы делали рассылку на почты студентов с адреса о необходимости подписать заявление о зачислении (так как без согласия со стороны студента мы не можем включить его в итоговые списки), а также дублировали информацию в нашем официальном канале в Telegram: @dc_bmstu. К сожалению, мы были вынуждены отклонить заявки без подписанных заявлений. Весной у нас будет новый набор на 2023/24 учебный год, ждём Вас! О начале набора обязательно объявим на нашем основном Telegram-канале: @dc_bmstu
17;5CAB2E535FFC0477DBCD4990F2698EC4C655595B081C71B4157427A1700363EB;Попробуйте, пожалуйста, повторить попытку позже или зайти с другого браузера/устройства.
18;F87E0ACA4E3CEA43CC5A3A67323389807BF527CF09504E6F41015482495CFFD8;"Приказ о зачислении слушателей на ""Цифровую Кафедру"" нигде не выложен по причине наличия в нём персональных данных обучающихся."
19;590CC5AF80C3DCB9B029177A6CE933F61CD9C010A4B6DFEE01602434C091F40D;Количество желающих обучаться на наших программах значительно превосходит количество возможных мест. Из-за этого нам пришлось ввести критерии отбора. Основной критерий - успеваемость на основном образовании. Не переживайте, следующий набор будет весной 2023 года. Следите за новостями на нашем официальном Telegram-канале: @dc_bmstu
20;8E5235C252411716122F1E0A92B30C131B36D3BBEDDCB65C78B9DB1267D92C65;Здравствуйте! Ваша заявка была отклонена из-за наличия ограничения со стороны Минцифры России (ограничения для магистров, бакалавров, специалистов) и большого количества поданных заявок. Но не расстраивайтесь, по нашей информации, данное ограничение Минцифры России планирует пересмотреть к следующему набору (стартуем весной 2023 года). Следите за новостями на нашем официальном Telegram-канале: @dc_bmstu
21;C0E272ED50A4853F4597D29EC138002C733853E036F3FF2C16D299BCAC3DA9C8;Вы можете подать заявку и пройти обучение на ЦК, но перед этим убедительно просим Вас взвесить свои силы и возможности. Сможете ли Вы совмещать получение основного образования и дополнительного? Если да, то мы Вас ждём! Желательно согласовать обучение на ЦК на Вашей кафедре. Спасибо!
22;BF7B1C384EF032C2D6C73EC0F819ADD94B9F707909C5A3AC2F8702C4B8A4A328;Да, вместо СНИЛС Вы должны будете предоставить ID Card (документ, который заменяет паспорт). Направьте нам, пожалуйста, следующие данные: ФИО, номер направления и группы, электронную почту, номер ID Card.
23;46AE0E3572FEF0541515E375B64591C705A4B5C09E8DE54503AC923BC7138638;"В устанавливающих документах по ""Цифровой Кафедре"" указано, что студенты получают дополнительную квалификацию одновременно с освоением основной образовательной программы. Если студент в процессе обучения по ООП и ДПП уходит в академический отпуск, то он может вернуться к освоению программы, только когда выйдет из академического отпуска. Соответственно диплом о профессиональной переподготовке Вы получите также вместе с дипломом об окончании основного образования."
24;8253C46AAD310643FDF4BA04341C11CB7F955FDFA2AD5AC917081306C05FC90E;"Вы можете подать заявку на поступление в период академического отпуска, однако на момент зачисления на """"Цифровую Кафедру"""" (приказ на зачисление будет сформировываться и подписываться осенью 2023 г.), Вы должны быть действующим студентом, т.е. фактически выйти из академа. Процедуру отбора и зачисления студентов на """"Цифровую Кафедру"""" мы планируем ещё усовершенствовать, более подробная информация о новом наборе появится ближе к весне 2023 г. Подписывайтесь и следите за новостями в официальной группе """"Цифровой Кафедры"""" в Telegram: @dc_bmstu"
25;8C2984041C0F336F848B115D3A711D911F23E2339A4B0ABB2DF4CF04C3034F93;К сожалению, мы можем принять на курс только действующих студентов МГТУ им. Н. Э. Баумана. Выпускники и аспиранты не могут пройти данное обучение.
26;A8C8AC43FDF93485555736DB52830F86A55C82C6AE1D4D65CBF64BCCCC8FDBBC;К сожалению, нет, записаться на курсы могут только студенты МГТУ им. Н. Э. Баумана. Возможно в следующем году будет расширение программы, и Вы сможете попробовать подать заявку (если у Вашего вуза будет соглашение с МГТУ).
27;223492554A971D601333F7E670339BD2B14E621292A16E9DAA1DAC7F7A6112BA;Вы начинаете обучение с нуля.
28;72DD804930C481F77AD233C343E5EAFFD3A7B50E735362984C5FD2DEC1FBA5B0;Совсем скоро мы организуем для всех желающих подготовительные мероприятия, направленные на профориентирование в рамках выбора подходящей программы. Следите за новостям на нашем канале @dc_bmstu
29;5BAAB83D146CEB70EE4394C1AA353B9CCC9BD3A957086809DD2277160C08CF85;Обучение проходит в формате асинхронное обучение. Теоретический курс пройти можно в любое удобное для Вас время. Практический курс зависит от того, как быстро Вы будете решать практические задания и от того, сколько времени потребуется на проверку Ваших работ преподавателем. В среднем на всю программу уходит от 250 академических часов. При должном желании обучиться у Вас не возникнет проблем с успеваемостью.
47;18C09C23E5B98BEEAC70B9108E7DF77E52EB2298708C99C89AA67F7CB15A93EB;В рамках учебного года 23/24 данной программы не предусмотрено. Возможно на 24/25 учебный год данная программа будет доступна.
30;51CEBFF1CE1B18FBF5073E35F39653997D6F7388AE44EB303088F144F5E6544C;"Никаких дополнительных обязательств перед ""Цифровой Кафедрой"" Вы не несёте. Главное - обучайтесь и не затягивайте со сдачей домашних заданий. При успешном освоении программы курса и прохождении итоговой аттестации в рамках проекта «Цифровые кафедры», Вам выдаётся документ о квалификации государственного образца - диплом о профессиональной переподготовке."
31;AC67B45BC4F4F9698E0024AFDEC4CBC7217B095C6CE6269275029429DF3B7D1E;Нет. Для обучения на Цифровой кафедре необходимо в обязательном порядке прохождение всех этапов ассесмента в Университете Иннополис
